Position,StateName,Name_x,Name_y,Handle,Affiliation,Body,Score,RankY,RankX,ndups
NY04,New York,Kathleen Rice,Kathleen Rice,@RepKathleenRice,D,House of Representatives,100,0,0,0
CA45,California,Katie Porter,Katie Porter,@RepKatiePorter,D,House of Representatives,100,0,0,0
TX12,Texas,Kay Granger,Kay Granger,@RepKayGranger,R,House of Representatives,100,0,0,0
CO04,Colorado,Ken Buck,Ken Buck,@RepKenBuck,R,House of Representatives,100,0,0,0
TX24,Texas,Kenny Marchant,Kenny Marchant,@RepKenMarchant,R,House of Representatives,100,0,0,0
OK05,Oklahoma,Kendra Horn,Kendra Horn,@RepKendraHorn,D,House of Representatives,100,0,0,0
TX08,Texas,Kevin Brady,Kevin Brady,@RepKevinBrady,R,House of Representatives,100,0,0,0
WA08,Washington,Kim Schrier,Kim Schrier,@RepKimSchrier,D,House of Representatives,100,0,0,0
IL16,Illinois,Adam Kinzinger,Adam Kinzinger,@RepKinzinger,R,House of Representatives,100,0,0,0
DE,Delaware,Lisa Rochester,Lisa Blunt Rochester,@RepLBR,D,House of Representatives,82,0,0,0
IL18,Illinois,Darin LaHood,Darin LaHood,@RepLaHood,R,House of Representatives,100,0,0,0
TX05,Texas,Lance Gooden,Lance Gooden,@RepLanceGooden,R,House of Representatives,100,0,0,0
IN08,Indiana,Larry Bucshon,Larry Bucshon,@RepLarryBucshon,R,House of Representatives,100,0,0,0
MI14,Michigan,Brenda Lawrence,Brenda Lawrence,@RepLawrence,D,House of Representatives,100,0,0,0
NY01,New York,Lee Zeldin,Lee Zeldin,@RepLeeZeldin,R,House of Representatives,100,0,0,0
CA38,California,Linda SÃ¡nchez,Linda Sánchez,@RepLindaSanchez,D,House of Representatives,89,0,0,0
IL03,Illinois,Daniel Lipinski,Dan Lipinski,@RepLipinski,D,House of Representatives,89,0,0,0
WY,Wyoming,Liz Cheney,Liz Cheney,@RepLizCheney,R,House of Representatives,100,0,0,0
TX35,Texas,Lloyd Doggett,Lloyd Doggett,@RepLloydDoggett,D,House of Representatives,100,0,0,0
FL21,Florida,Lois Frankel,Lois Frankel,@RepLoisFrankel,D,House of Representatives,100,0,0,0
MA03,Massachusetts,Lori Trahan,Lori Trahan,@RepLoriTrahan,D,House of Representatives,100,0,0,0
CA46,California,Luis Correa,Lou Correa,@RepLouCorrea,D,House of Representatives,86,0,0,0
GA11,Georgia,Barry Loudermilk,Barry Loudermilk,@RepLoudermilk,R,House of Representatives,100,0,0,0
CA47,California,Alan Lowenthal,Alan Lowenthal,@RepLowenthal,D,House of Representatives,100,0,0,0
GA06,Georgia,Lucy McBath,Lucy McBath,@RepLucyMcBath,D,House of Representatives,100,0,0,0
PA05,Pennsylvania,Mary Scanlon,Mary Gay Scanlon,@RepMGS,D,House of Representatives,86,0,0,0
